country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,30.1,30.4,32.5,33,35.1,36.7,38.6,37.5
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,77.7,94.9,89.7,98.3,,63.5,55.6,34.3,38.8,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,57,38.6,41,55.8,47,52.9,54.3,50.5,51.4,48.4,34.6,35.5,,38.2,32.5,29.3,26.5,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,31.3,28,28.5,28.5,30.5,27.6,24.8,34.1,28,23.5,24.3,21.9,25.9,24.2,21.8,20.5,21,20.3,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,37.3,36.1,34,33.6,,
Djibouti,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,64.4,68.5,73.6,72,65.1,60.9,54.1,52.1,52.3,50.4,55,54,50.9,41.9,42.6,43.1,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,43.3,,52.7,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,236,,592,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,19.4,20.2,20.9,21.4,22.2,22.2,22.3,23,24.6,26.8,28.6,28,27.3,23.8,23.3,23,22.9,21.8,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,31.3,32,,24.6,24.5,22,17.7,18.4,,20,21.5,25.6,23.2,24.2,20.4,27.8,31.9,34,36.9,,
